测试频道,#genre#
JET綜合[1920*1080],http://50.7.220.74:8278/jettv_japan/playlist.m3u8?tid=mec9806b42012&ct=18335&tsum=e4518647627cab22a9faca0710d987ec
東森綜合[1920*1080],http://50.7.220.74:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
中天綜合[1920*1080],http://50.7.220.74:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
中天娛樂[1920*1080],http://50.7.220.74:8278/ctient/playlist.m3u8?tid=m6780c60bd34a13540795&ct=17874&tsum=06089e289a460b0685447b7656d550e3
中天亞洲[1280*720],http://50.7.220.74:8278/ctiasia_twn/playlist.m3u8?tid=mfc2c5bc6c101&ct=18335&tsum=d074a602fcd98718afeb8fc9a18fa964
東森戲劇[1280*720],http://50.7.220.74:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
民視新聞[1280*720],http://50.7.220.74:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406
東森新聞[1280*720],http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m1785954e5a67&ct=18336&tsum=ce82c650c85a63fe1ead9e30f2d4bfb4
TVBS新聞[1280*720],http://50.7.220.74:8278/tvbs_n/playlist.m3u8?tid=m4a218f9aa395&ct=18335&tsum=363605ee081cb965cc0385c3f855a7e3
東森財經[1280*720],http://50.7.220.74:8278/ettvcaijing_twn/playlist.m3u8?tid=m999b5a0f7fca17599138&ct=17874&tsum=345085d2d6d4401fdb3da968dfee5a54
非凡新聞[1920*1080],http://50.7.220.74:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
WWE[1280*720],http://50.7.220.74:8278/wwe_twn/playlist.m3u8?tid=MACA9233903292339032&ct=18393&tsum=e4cbbd3b73f34348c4a58d7dc6fbd7dc
東森電影[1920*1080],http://50.7.220.74:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
緯來電影[1280*720],http://50.7.220.74:8278/videolandmovie/playlist.m3u8?tid=ma2dac66da407&ct=18335&tsum=9a5a39559f64a71081ef9b3a85f2886c
天映經典[960*540],http://50.7.220.74:8278/Celestial2/playlist.m3u8?tid=m6ef86c74cc921039065&ct=17916&tsum=d3a0eedfcfc050a71e7c99ea52c0da04
龍祥電影[1280*720],http://50.7.220.74:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
好萊塢電影[1280*720],http://50.7.220.74:8278/hollywoodmovies_twn/playlist.m3u8?tid=m39bfcd99239617992917&ct=17874&tsum=774ffa7546c934dc27e743c5bbb454d3
CINEMAX[1920*1080],http://50.7.220.74:8278/cinemax_twn/playlist.m3u8?tid=mf18038aaba6311485855&ct=17874&tsum=63ee6bcdb705ee72ea3d0f0d84ed6df1
HBO[1920*1080],http://50.7.220.74:8278/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBO原創鉅獻[1280*720],http://50.7.220.74:8278/hbosignature_twn/playlist.m3u8?tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
愛爾達影劇[1280*720],http://50.7.220.74:8278/eltadrama_twn/playlist.m3u8?tid=mea60e416943110603068&ct=17874&tsum=ede38d2a218a34b5397af9d19e0c39a3
愛爾達體育1[1280*720],http://50.7.220.74:8278/eltasport_twn/playlist.m3u8?tid=md3567b35401611916221&ct=17874&tsum=be2a069324faa7f0737ca0d396d43745
ELEVEN SPORTS 1[1280*720],http://50.7.220.74:8278/golfchannel_twn/playlist.m3u8?tid=m43df9270caf7&ct=18335&tsum=3bcc02e810e7073b86bb40d392e95f23
EYE TV戲劇[1280*720],http://50.7.220.74:8278/eyetvxiju_twn/playlist.m3u8?tid=m379e8846d31b14432367&ct=17874&tsum=2c4c2acd16a5a5e00797ad6f4c4cb586
EYE TV旅遊[1280*720],http://50.7.220.74:8278/eyetvtravel_twn/playlist.m3u8?tid=m3e96290c929116279255&ct=17874&tsum=7c060d25738e52e57372f408b9ccd0bc
中國電影[1280*720],http://50.7.220.74:8278/chcfamily/playlist.m3u8?tid=ME7E3282776332827763&ct=18393&tsum=c098f25f9c140478d2a814b22a7ccbd3
星衛電影[1280*720],http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
亞洲旅遊[1280*720],http://50.7.220.74:8278/asiatravel_twn/playlist.m3u8?tid=ma9ec30da9ef3&ct=18335&tsum=ff0bd9207f2c72a8c9bf38464433dc7d
美亞電影[1280*720],http://50.7.220.74:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
龍華影劇[1280*720],http://50.7.220.74:8278/lunghuamovie_twn/playlist.m3u8?tid=mdb73470557ff10965185&ct=17874&tsum=d0a4494eb289910a11f4d305a804136a
龍華洋片[1280*720],http://50.7.220.74:8278/lunghuawestern_twn/playlist.m3u8?tid=m8fe1f2649ecd12830420&ct=17874&tsum=a6674ed93a8ec4ea4705c721b752d4db
龍華戲劇[1280*720],http://50.7.220.74:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb
靖天卡通[1280*720],http://50.7.220.74:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
博斯運動II[1280*720],http://50.7.220.74:8278/bosisport2_twn/playlist.m3u8?tid=mb50f39eebf51&ct=18335&tsum=4f8960c36a3e7f2b069d574293809283
博斯網球[1280*720],http://50.7.220.74:8278/bositennis_twn/playlist.m3u8?tid=m60f4fd9da4d1&ct=18335&tsum=4d026bfb332da29886aa772f2e149edb
博斯高球I[1280*720],http://50.7.220.74:8278/bosigolf1_twn/playlist.m3u8?tid=m51c41c232c43&ct=18335&tsum=26e2e08302bf0409db94a692921fa08b
時尚頻道[1280*720],http://50.7.220.74:8278/fashiontv_twn/playlist.m3u8?tid=ma97f669e7343&ct=18335&tsum=732ba26aa334bf6c1fad8812deda83d1
#__#
CCTV1[1920*1080],http://120.84.96.29:808/hls/1/index.m3u8
CCTV3[1920*1080],http://120.84.96.29:808/hls/3/index.m3u8
CCTV5[1920*1080],http://120.84.96.29:808/hls/5/index.m3u8
CCTV6[1920*1080],http://120.84.96.29:808/hls/6/index.m3u8
CCTV8[1920*1080],http://120.84.96.29:808/hls/8/index.m3u8
CCTV9[1920*1080],http://120.84.96.29:808/hls/9/index.m3u8
广东体育[1920*1080],http://120.84.96.29:808/hls/22/index.m3u8
澳门莲花卫视[1920*1080],http://120.84.96.29:808/hls/24/index.m3u8
CCTV5+[1920*1080],http://120.84.96.29:808/hls/30/index.m3u8
东森电影台[1920*1080],http://120.84.96.29:808/hls/32/index.m3u8
东森洋片台[1920*1080],http://120.84.96.29:808/hls/33/index.m3u8
LSTime电影台[1920*1080],http://120.84.96.29:808/hls/35/index.m3u8
凤凰香港[1920*1080],http://120.84.96.29:808/hls/81/index.m3u8
戏剧[1920*1080],http://120.84.96.29:808/hls/84/index.m3u8
天映经典[1920*1080],http://120.84.96.29:808/hls/85/index.m3u8
J2[1920*1080],http://120.84.96.29:808/hls/86/index.m3u8
CCTV1[1920*1080],http://120.84.96.29:808/hls/101/index.m3u8
CCTV2[1920*1080],http://120.84.96.29:808/hls/102/index.m3u8
CCTV3[1920*1080],http://120.84.96.29:808/hls/103/index.m3u8
CCTV4[1920*1080],http://120.84.96.29:808/hls/104/index.m3u8
CCTV7[1920*1080],http://120.84.96.29:808/hls/107/index.m3u8
CCTV8[1920*1080],http://120.84.96.29:808/hls/108/index.m3u8
CCTV9[1920*1080],http://120.84.96.29:808/hls/109/index.m3u8
CCTV10[1920*1080],http://120.84.96.29:808/hls/110/index.m3u8
CCTV12[1920*1080],http://120.84.96.29:808/hls/112/index.m3u8
CCTV14[1920*1080],http://120.84.96.29:808/hls/114/index.m3u8
CCTV5+[1920*1080],http://120.84.96.29:808/hls/116/index.m3u8
广东经济[1920*1080],http://120.84.96.29:808/hls/118/index.m3u8
广东卫视[1920*1080],http://120.84.96.29:808/hls/121/index.m3u8
珠江频道[1920*1080],http://120.84.96.29:808/hls/122/index.m3u8
深圳卫视[1920*1080],http://120.84.96.29:808/hls/125/index.m3u8
湖南卫视[1920*1080],http://120.84.96.29:808/hls/126/index.m3u8
深圳卫视[1920*1080],http://120.84.96.29:808/hls/125/index.m3u8
湖南卫视[1920*1080],http://120.84.96.29:808/hls/126/index.m3u8
湖北卫视[1920*1080],http://120.84.96.29:808/hls/128/index.m3u8
浙江卫视[1920*1080],http://120.84.96.29:808/hls/129/index.m3u8
江苏卫视[1920*1080],http://120.84.96.29:808/hls/130/index.m3u8
山东卫视[1920*1080],http://120.84.96.29:808/hls/132/index.m3u8
辽宁卫视[1920*1080],http://120.84.96.29:808/hls/133/index.m3u8
黑龙江卫视[1920*1080],http://120.84.96.29:808/hls/139/index.m3u8
天津卫视[1920*1080],http://120.84.96.29:808/hls/149/index.m3u8
四川卫视[1920*1080],http://120.84.96.29:808/hls/165/index.m3u8
#__#
大新电视台[1920*1080],http://111.59.63.32:9901/tsfile/live/1001_1.m3u8
崇左综合[1920*1080],http://111.59.63.32:9901/tsfile/live/1002_1.m3u8
广西卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1003_1.m3u8
广西综艺旅游[1920*1080],http://111.59.63.32:9901/tsfile/live/1004_1.m3u8
广西都市[1920*1080],http://111.59.63.32:9901/tsfile/live/1005_1.m3u8
广西影视[1920*1080],http://111.59.63.32:9901/tsfile/live/1006_1.m3u8
广西新闻[1920*1080],http://111.59.63.32:9901/tsfile/live/1007_1.m3u8
CCTV1[1920*1080],http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV2[1920*1080],http://111.59.63.32:9901/tsfile/live/1009_1.m3u8
CCTV3[1920*1080],http://111.59.63.32:9901/tsfile/live/1010_1.m3u8
CCTV4[1920*1080],http://111.59.63.32:9901/tsfile/live/1011_1.m3u8
CCTV5[1920*1080],http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV6[1920*1080],http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV7[1920*1080],http://111.59.63.32:9901/tsfile/live/1014_1.m3u8
CCTV8[1920*1080],http://111.59.63.32:9901/tsfile/live/1015_1.m3u8
CCTV9[1920*1080],http://111.59.63.32:9901/tsfile/live/1016_1.m3u8
CCTV10[1920*1080],http://111.59.63.32:9901/tsfile/live/1017_1.m3u8
CCTV11[1920*1080],http://111.59.63.32:9901/tsfile/live/1018_1.m3u8
CCTV12[1920*1080],http://111.59.63.32:9901/tsfile/live/1019_1.m3u8
CCTV13[1920*1080],http://111.59.63.32:9901/tsfile/live/1020_1.m3u8
CCTV14[1920*1080],http://111.59.63.32:9901/tsfile/live/1021_1.m3u8
CCTV15[1920*1080],http://111.59.63.32:9901/tsfile/live/1022_1.m3u8
CCTV17[1920*1080],http://111.59.63.32:9901/tsfile/live/1023_1.m3u8
中国教育1台[1920*1080],http://111.59.63.32:9901/tsfile/live/1024_1.m3u8
江苏卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1025_1.m3u8
东方卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1026_1.m3u8
安徽卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1027_1.m3u8
湖南卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1028_1.m3u8
四川卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1029_1.m3u8
北京卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1030_1.m3u8
浙江卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1031_1.m3u8
广东卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1032_1.m3u8
深圳卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1033_1.m3u8
山东卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1034_1.m3u8
重庆卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1035_1.m3u8
贵州卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1036_1.m3u8
云南卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1037_1.m3u8
内蒙古卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1038_1.m3u8
新疆卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1039_1.m3u8
宁夏卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1040_1.m3u8
辽宁卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1041_1.m3u8
江西卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1042_1.m3u8
吉林卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1043_1.m3u8
湖北卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1044_1.m3u8
黑龙江卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1045_1.m3u8
天津卫视[1920*1080],http://111.59.63.32:9901/tsfile/live/1047_1.m3u8
