原力频道,#genre#
高点综合,p5p://fccs.123178.top:9906/6149448d0007247b0d4ca68022a5f032.ts
凤凰信息台,p5p://fccs.123178.top:9906/604354a700001c2706f579cae17a48f1.ts
凤凰中文台,p5p://fccs.123178.top:9906/604355380000ff4606f7b06cbafec3a5.ts
凤凰香港,p5p://fccs.123178.top:9906/604355eb000c9c6806fa6e9daf90ff12.ts
翡翠台,p5p://fccs.123178.top:9906/615ae0360009eda6044bf987e8d620d7.ts
非凡新闻,p5p://fccs.123178.top:9906/614991e2000e29550e7abc54c0c10ef6.ts
法国时装,p5p://fccs.123178.top:9906/6131917c000da76e1853ffa122f43950.ts
动物星球,p5p://fccs.123178.top:9906/60440362000e75bc09a007eeaa0519c7.ts
东森综合,p5p://fccs.123178.top:9906/60f6d48100093dde01e5183e2fe6721c.ts
东森YOYO,p5p://fccs.123178.top:9906/6044812c00070c6401ab7829e94ee52d.ts
东森洋片台,p5p://fccs.123178.top:9906/60449f6d000c10680221a75af38e252f.ts
东森新闻,p5p://fccs.123178.top:9906/6173ae660001b6721788b6c6ac08380c.ts
东森戏剧,p5p://fccs.123178.top:9906/60449e3500031323021ce24de00b3ef2.ts
东森电影台,p5p://fccs.123178.top:9906/61494e4c000044800d72b6d5c1b77f5c.ts
东森超视,p5p://fccs.123178.top:9906/60449b4f000e1ebf021192b074519d04.ts
东森财经,p5p://fccs.123178.top:9906/61494d6b00007a520d6f47fbe773e0a5.ts
东风卫视,p5p://fccs.123178.top:9906/604640af000dbd7a087f919857110af4.ts
迪斯尼卡通,p5p://fccs.123178.top:9906/604481b9000baf3801ada02160f76b5d.ts
大爱电视台,p5p://fccs.123178.top:9906/6044917a0000fce101eb274c2044b550.ts
大爱电视2,p5p://fccs.123178.top:9906/60c5a836000cdeac10d361e80c6f7078.ts
采昌影剧,p5p://fccs.123178.top:9906/604411ec0004d59109d8d087e9645ce6.ts
博斯运动1台,p5p://fccs.123178.top:9906/604478f0000e964f018b4fb7c6ee22b4.ts
博斯运动 II,p5p://fccs.123178.top:9906/6044799300093dbb018dcb11ecf6cc03.ts
博斯无限台,p5p://fccs.123178.top:9906/60445a120003530d0112b9a5dc60ca35.ts
博斯网球,p5p://fccs.123178.top:9906/6044783c0007f05c01888ee3506bef35.ts
博斯高球二台,p5p://fccs.123178.top:9906/604477b3000746210186779063f54d2a.ts
博斯高球1,p5p://fccs.123178.top:9906/604476f500023ffc01839017c2f8b12b.ts
八大综合,p5p://fccs.123178.top:9906/6044d641000e5dc002f7d411a124e035.ts
八大娱乐台,p5p://fccs.123178.top:9906/6044d70900008dea02faddc78bf8a126.ts
八大戏剧台,p5p://fccs.123178.top:9906/6044d5ac000936f902f58cb70525846f.ts
八大第一,p5p://fccs.123178.top:9906/611a7e950004e4af0be88e80bf4b6388.ts
澳门莲花台,p5p://fccs.123178.top:9906/613192f10005f0f11859aeaf78bfd050.ts
爱放动漫,p5p://fccs.123178.top:9906/60447b1e000e9a430193d36877b2a95b.ts
爱尔达综合台,p5p://fccs.123178.top:9906/60689fa0000c9dae134f712965a8f823.ts
爱尔达影剧台,p5p://fccs.123178.top:9906/6044382f0001bdea008e5a851f8cf009.ts
爱尔达体育3台,p5p://fccs.123178.top:9906/617b775e00020aaa0208dc70b179c11d.ts
爱尔达体育2台,p5p://fccs.123178.top:9906/617b767a000873b0020563740ce34ccd.ts
爱尔达体育1台,p5p://fccs.123178.top:9906/617b742500015a6801fc459b61930f93.ts
Z 频道,p5p://fccs.123178.top:9906/60446c7f000b970f015ab58bf1266ed0.ts
WAKUWAKU JAPAN,p5p://fccs.123178.top:9906/6149539e0006e3320d8780d7a6f76be2.ts
VIU,p5p://fccs.123178.top:9906/615ae21f000542fd04536e7d15caf57f.ts
VIU SIX,p5p://fccs.123178.top:9906/6159c5d9000848ff19fce09318840f2c.ts
tvN,p5p://fccs.123178.top:9906/60440983000c3b9b09b7f844459e12ab.ts
TVB星河,p5p://fccs.123178.top:9906/60463cd5000f308a087086672166e0af.ts
TVB明珠,p5p://fccs.123178.top:9906/615ae1300007f909044fc997428426ad.ts
TVBS新闻,p5p://fccs.123178.top:9906/61494c2100042a180d6a3fdd3c19ba48.ts
TVBS精彩,p5p://fccs.123178.top:9906/610ccbbc000ada220a2a333a700ad566.ts
TVBS 欢乐台,p5p://fccs.123178.top:9906/614942c70008d5e00d45b97fe1d761d3.ts
TVBS HD,p5p://fccs.123178.top:9906/61495191000f04ab0d7f8024a458a528.ts
Travel 旅游频道,p5p://fccs.123178.top:9906/604944bf0002e33c14476d50e1deb4e1.ts
TLC旅游台,p5p://fccs.123178.top:9906/60440517000a918709a6b1f73be1eeb9.ts
thrill电影台,p5p://fccs.123178.top:9906/604413240002c04b09dd92bffd4adc1b.ts
Star Movies电影台,p5p://fccs.123178.top:9906/6173bd080007071617c1e0f237fbb6b4.ts
Sports Plus1,p5p://fccs.123178.top:9906/615cf47c000780400c6b2a5874b20000.ts
Outdoor,p5p://fccs.123178.top:9906/60434713000a12a206c07237b306369a.ts
NHK World HD,p5p://fccs.123178.top:9906/6044741d0000e8b9017873ff81c638cb.ts
NBA,p5p://fccs.123178.top:9906/61728417000b164612fb74944d3a5d26.ts
MTV综合,p5p://fccs.123178.top:9906/604408e9000a103309b59e2621263caa.ts
MTV Live,p5p://fccs.123178.top:9906/60440af600097aa009bda0c8f60b1cae.ts
MoMo亲子台,p5p://fccs.123178.top:9906/604480210005726601a764c84f1d9e1c.ts
Mezzo Live,p5p://fccs.123178.top:9906/6044084c000d934609b339c4b9e633ef.ts
Medici-arts,p5p://fccs.123178.top:9906/61a399d10003f610036731d6e65c66ea.ts
LUXE奢华频道,p5p://fccs.123178.top:9906/60689d7b000b57f61347104e33aa1e24.ts
LOVE NATURE,p5p://fccs.123178.top:9906/61a770eb000960dd126770c9578d8409.ts
Lifetime,p5p://fccs.123178.top:9906/60440d6800025fd909c72c46337e9f6b.ts
KIX电影台,p5p://fccs.123178.top:9906/6044145c000e8fb900026d95dbb7683a.ts
Kids Zone,p5p://fccs.123178.top:9906/61349379000143450a4ad11a33e7c5ab.ts
JET 综合台,p5p://fccs.123178.top:9906/6149450a0008594b0d4e8f17d7ad923b.ts
J5,p5p://fccs.123178.top:9906/615ae1a3000287eb0451896b0c3da395.ts
J2,p5p://fccs.123178.top:9906/615ae0af000c0802044dd2b9392f9b13.ts
HGTV 居家乐活频道,p5p://fccs.123178.top:9906/61a7728a00065970126dc51b5b5b1723.ts
HBO原创,p5p://fccs.123178.top:9906/604339520007991f068ab7ad0427275f.ts
HBO-HD,p5p://fccs.123178.top:9906/604340b2000af04c06a787875d674b81.ts
HBO 家庭,p5p://fccs.123178.top:9906/610b3ea6000bd4a6041b158a2a02ace5.ts
HBO Hits HD,p5p://fccs.123178.top:9906/60442428000dc9020040224339113352.ts
GAGLE EYE,p5p://fccs.123178.top:9906/615ce4500007ece30c2bfe9463f0390e.ts
FX-HD,p5p://fccs.123178.top:9906/60440f3c000c153709ce52e28565fc29.ts
FOX 频道,p5p://fccs.123178.top:9906/60440eb10006690c09cc32777254e90a.ts
FOX CRIME福斯警匪,p5p://fccs.123178.top:9906/60440e1600029d1f09c9d406f98d5158.ts
FOOD美食,p5p://fccs.123178.top:9906/604407250006a38d09aeb7a6e70be747.ts
EYETV戏剧,p5p://fccs.123178.top:9906/60442b6d000654ae005c85e289945252.ts
EYE TV旅游台,p5p://fccs.123178.top:9906/60494553000b340f1449b191f22032d6.ts
ETtoday综合 HD,p5p://fccs.123178.top:9906/6043494d000e362406c925d66b8448c9.ts
Eleven运动台2,p5p://fccs.123178.top:9906/61495671000ab36e0d928a09ffb0ac85.ts
Eleven运动台1,p5p://fccs.123178.top:9906/60446a54000b4ef801523d80af6dda12.ts
Dreamworks,p5p://fccs.123178.top:9906/60447d38000deb8b019c08cb6ec7c4d9.ts
Comedy Central Asia,p5p://fccs.123178.top:9906/6044183b000d06f700118c4956df7f03.ts
CN卡通,p5p://fccs.123178.top:9906/604480aa000baba001a97d8882607e75.ts
Classica HD古典音乐,p5p://fccs.123178.top:9906/60689dd9000cb8ae13487fd8feab0590.ts
Cinemax,p5p://fccs.123178.top:9906/6149544b0008eb0b0d8a2524ddcf3ee6.ts
CinemaWorld,p5p://fccs.123178.top:9906/604415aa00054259000783e434297e54.ts
CatchPlay电影台,p5p://fccs.123178.top:9906/6044191d000d8b620014ff3bef2f4594 .ts
ＢＳ钓りビジョン,p5p://fccs.123178.top:9906/6163d87c000494010d63a6c83657671f.ts
BOOMERANG,p5p://fccs.123178.top:9906/60447a4a00022e630190941a11afdf8e.ts
BLUE ANT EXTREME,p5p://fccs.123178.top:9906/60441771000d4807000e774ad2f62e16.ts
Bein sports 2,p5p://fccs.123178.top:9906/615ce3e1000a9ab80c2a4dac8efd70b5.ts
Bein sports 1,p5p://fccs.123178.top:9906/6165658200031117137285d54842b1b6.ts
BBC Lifestyle,p5p://fccs.123178.top:9906/614955d2000d41ca0d901d9987bbb53c.ts
BBC Earth,p5p://fccs.123178.top:9906/6044049e000eb7a609a4da5fcd30cc43.ts
AXN,p5p://fccs.123178.top:9906/6044d92d0004949903033b6f41d556d0.ts
Animax HD,p5p://fccs.123178.top:9906/611a8d5a000710970c22409682924b74.ts
afc亚洲美食 HD,p5p://fccs.123178.top:9906/6044065f0003bace09abb177a024828d.ts
TV5 Monde,p5p://fccs.123178.top:9906/6046414f0008aa040882014b96694a71.ts
CNN Internationa,p5p://fccs.123178.top:9906/614941fe0007b8690d42a80e92bf1540.ts
BBC WORLD NEWS,p5p://fccs.123178.top:9906/60464299000eba8708870be862b68160.ts
Channel NewsAsia频道,p5p://fccs.123178.top:9906/604643330003bf3e088962a9042b90c4.ts
CNBC Asia,p5p://fccs.123178.top:9906/604643c100068849088b8e0fef813f1c.ts
France 24,p5p://fccs.123178.top:9906/616564d400040306136fde623656c5e4.ts
铁道チャンネル,p5p://fccs.123178.top:9906/6163fa58000f19960de7ecd9276ed6b5.ts
NEWS24,p5p://fccs.123178.top:9906/6163fa82000ec77c0de890d444e4b40f.ts
FIGHTING TV サムライ,p5p://fccs.123178.top:9906/6163fa99000a67f70de8e98ec63704ec.ts
アニマルプラネット,p5p://fccs.123178.top:9906/6163faae000a32850de93b8843e13623.ts
Disney XD Japan,p5p://fccs.123178.top:9906/6163fad2000b65ef0de9c8776b55d158.ts
スターチャンネル1,p5p://fccs.123178.top:9906/6163fae4000bd7ae0dea0ee4a80d24c7.ts
スターチャンネル2,p5p://fccs.123178.top:9906/6163fafd00096e5e0dea6fee6382f378.ts
スターチャンネル３,p5p://fccs.123178.top:9906/6163fb11000589730deabd0e1d8365f7.ts
スーパー！ドラマＴＶ ＨＤ,p5p://fccs.123178.top:9906/6163fb280009d9b00deb18016bd980f2.ts
MONDO TV HD,p5p://fccs.123178.top:9906/6163fb410003bd290deb7819025833e7.ts
ゴルフネットワークHD,p5p://fccs.123178.top:9906/6163fb9b00058a0d0decd81f38470c0a.ts
ＢＢＣワールドニュース,p5p://fccs.123178.top:9906/6163fbc10003978e0ded6c0f0b629f55.ts
CNN/US HD,p5p://fccs.123178.top:9906/6163fbe0000960a10dede6a22930a24d.ts
Music Japan TV HD,p5p://fccs.123178.top:9906/6163fbf60005b93a0dee3ba3d634fd61.ts
MTV HD,p5p://fccs.123178.top:9906/6163fc0700066f0f0dee7e39db4999a5.ts
MUSIC ON! TV,p5p://fccs.123178.top:9906/617ca23b00078cb306984d21f662b04e.ts
ヒストリーチャンネル™ HD,p5p://fccs.123178.top:9906/6163fc38000b3a220def3edb417ca5a9.ts
ＡＸＮ ＨＤ 海外ドラマ,p5p://fccs.123178.top:9906/6163fc4f000c36520def98f44de61dfd.ts
AXNミステリー HD,p5p://fccs.123178.top:9906/6163fc7700088f0c0df034449dd43bd3.ts
ナショナル ジオグラフィック チャンネル HD,p5p://fccs.123178.top:9906/6163fc96000b34c10df0ae0a77091af5.ts
ＫＢＳ Ｗｏｒｌｄ ＨＤ,p5p://fccs.123178.top:9906/6163fcab00042e720df0fe46ecd3493c.ts
FOX HD,p5p://fccs.123178.top:9906/6163fcc3000201850df15b77d1dfdfba.ts
东映チャンネルＨＤ,p5p://fccs.123178.top:9906/6163fcd90005fae50df1b26bfdb79ad3.ts
女性チャンネル♪LaLa TV(HD),p5p://fccs.123178.top:9906/6163fcee0004b9cd0df20421754ec672.ts
ムービープラスＨＤ,p5p://fccs.123178.top:9906/6163fd000005bc180df24ab3c125a950.ts
日テレG+ HD,p5p://fccs.123178.top:9906/6163fd1400035ae40df29837c446956d.ts
卫星剧场ＨＤ,p5p://fccs.123178.top:9906/6163fd28000509de0df2e6c6eb1cfbfe.ts
ＧＡOＲＡ　ＨＤ,p5p://fccs.123178.top:9906/6163fd3e000926800df33dc3dbb83a53.ts
フジテレビ,p5p://fccs.123178.top:9906/606ad3be000380a701fee92f192a715c.ts
ザ・シネマＨＤ,p5p://fccs.123178.top:9906/6163fd51000eeceb0df38976ad19ebf2.ts
スカイ・A sports＋ ＨＤ,p5p://fccs.123178.top:9906/6163fd62000b33fb0df3caeab2643bc3.ts
ディスカバリーチャンネル,p5p://fccs.123178.top:9906/6163fd76000be6230df41937e513afe9.ts
旅チャンネルＨＤ,p5p://fccs.123178.top:9906/619def07000c53ce07363500e3cb011d.ts
ホ-ムドラマチャンネル,p5p://fccs.123178.top:9906/606ad4b3000254650202a5ea92a8c504.ts
ＷＯＷＯＷシネマ,p5p://fccs.123178.top:9906/6163efb60006ea500dbe61f1431b7474.ts
ＷＯＷＯＷライブ,p5p://fccs.123178.top:9906/6163efd7000071b40dbee1313fdc1060.ts
ＷＯＷＯＷプライム,p5p://fccs.123178.top:9906/6163eff400031a6c0dbf5327d5d57b51.ts
テレ朝チャンネル２,p5p://fccs.123178.top:9906/6163f010000380410dbfc0a10bbe559e.ts
テレ朝チャンネル１,p5p://fccs.123178.top:9906/6163f5a700075e190dd597768bf6b402.ts
ミュージック・エア,p5p://fccs.123178.top:9906/6163f5fd0001169a0dd6e5cb012f4d4a.ts
ＴＢＳチャンネル１,p5p://fccs.123178.top:9906/6163f6580007f0060dd84b0420c3bd2e.ts
フジテレビＮＥＸＴ,p5p://fccs.123178.top:9906/6163f6ac00001e830dd99123079962d0.ts
フジテレビＯＮＥ,p5p://fccs.123178.top:9906/6163f6e4000dfdf60dda6f7113350d44.ts
フジテレビＴＷＯ,p5p://fccs.123178.top:9906/6163f7040005306e0ddaea30ced35bcf.ts
J SPORTS 1,p5p://fccs.123178.top:9906/6163f826000d84c70ddf59224313dbf9.ts
J SPORTS 2,p5p://fccs.123178.top:9906/6163f84c00011a380ddfea64fb808978.ts
J SPORTS 3,p5p://fccs.123178.top:9906/6163f864000a6bb50de04a860b844554.ts
J SPORTS 4,p5p://fccs.123178.top:9906/6163f8d30006256b0de1fb065d8da9ca.ts
NHK BS1,p5p://fccs.123178.top:9906/61db9fa5000b15970f6d039085fee844.ts
NHK BS Premium,p5p://fccs.123178.top:9906/61dba1a5000d54940f74d423ce32e046.ts
BS日テレ,p5p://fccs.123178.top:9906/61dba1dd0004781f0f75ac9f1e1ad912.ts
BS朝日,p5p://fccs.123178.top:9906/61dba252000039f50f777491dac9d337.ts
BSテレ东,p5p://fccs.123178.top:9906/61dba3ac000ce3ac0f7cbf5ffeaf8068.ts
BS Sky PerfecTV!,p5p://fccs.123178.top:9906/61dba3d400084f480f7d5a7244ed9089.ts
BS 11,p5p://fccs.123178.top:9906/61dba3f7000d62d40f7de477dab25d7c.ts
VIE TV,p5p://fccs.123178.top:9906/61653e5f000689fa12d9a6009d77a29d.ts
Vietface TV,p5p://fccs.123178.top:9906/61653fa200001f0812de92138cdf065d.ts
Vien Thao TV,p5p://fccs.123178.top:9906/61653fc00005fd1212df08c404bbd366.ts
VGN TV,p5p://fccs.123178.top:9906/61653fda00044c8912df6de517501f46.ts
Tviet Network,p5p://fccs.123178.top:9906/616540140006601812e050fd68e35b94.ts
iMovie HD,p5p://fccs.123178.top:9906/616544cf000d213e12f2cd30ae3e15fa.ts
BTV6,p5p://fccs.123178.top:9906/6183965c0001bdc607efd4ebf6ec27ee.ts
BTV11,p5p://fccs.123178.top:9906/616545040005ce2912f39a58a7b7b6a5.ts
NCM,p5p://fccs.123178.top:9906/6165451f000ba5e512f4054f2c8676b2.ts
FBNC HD,p5p://fccs.123178.top:9906/6165452f00000a0712f440d62693ccca.ts
VOVTV,p5p://fccs.123178.top:9906/61654543000e18f612f4928f4fc1f8ff.ts
VTV Hyundai Homeshopping,p5p://fccs.123178.top:9906/61654a74000007e01308d65ed6e05046.ts
Quốc Hội HD,p5p://fccs.123178.top:9906/61654a90000125cc1309440733b0129c.ts
Quốc Phòng VN HD,p5p://fccs.123178.top:9906/61654aab000cb83c1309b075a9a27553.ts
Thông Tấn Xã Việt Nam,p5p://fccs.123178.top:9906/61654ac50008b7dc130a14fffb820bde.ts
Truyền Hình Nhân Dân HD,p5p://fccs.123178.top:9906/61654adf0003bd57130a7949dceb538b.ts
YouTV,p5p://fccs.123178.top:9906/61654aee0003d18b130ab3e6ba209005.ts
An Giang,p5p://fccs.123178.top:9906/61654afe000aefe7130af4380a963756.ts
Bà Rịa-Vũng Tàu HD,p5p://fccs.123178.top:9906/61654b1100093137130b3dfe49f2ffef.ts
S Channel,p5p://fccs.123178.top:9906/616540300003150912e0bd86073d6b12.ts
